,room_type_Entire home/apt,accommodates,gym,bedrooms,dishwasher,kitchen,longitude,room_type_Hotel room,latitude,refrigerator,cable_tv,pool,neighbourhood_Near North Side,reviews_per_month,neighbourhood_Albany Park,indoor_fireplace,minimum_nights,calculated_host_listings_count,availability_365,iron,neighbourhood_Loop,washer,room_type_Shared room,review_scores_rating,number_of_reviews,neighbourhood_Lincoln Park,neighbourhood_Washington Park,heating,hair_dryer,stove,neighbourhood_Lake View,neighbourhood_Logan Square,neighbourhood_Near West Side,room_type_Private room,maximum_nights,neighbourhood_East Garfield Park,hot_water,microwave,neighbourhood_South Chicago,neighbourhood_Uptown,neighbourhood_Belmont Cragin,neighbourhood_Oakland,neighbourhood_Englewood,neighbourhood_New City,neighbourhood_Austin,dryer,neighbourhood_Dunning
3241,1,1.9459101490553132,0,4.0,0,1,-87.64699,0,41.92937,0,0,0,0,-2.995732273553991,0,0,0.6931471805599453,1.9459101490553132,154,0,0,1,0,1.3862943611198906,0.0,1,0,1,0,0,0,0,0,0,7.025538314638521,0,0,0,0,0,0,0,0,0,0,1,0
3242,1,2.0794415416798357,0,4.0,1,1,-87.64711,0,41.92886,1,1,0,0,-1.5141277326297755,0,0,0.6931471805599453,1.9459101490553132,144,0,0,0,0,1.4655675420143985,1.6094379124341003,1,0,1,0,1,0,0,0,0,7.025538314638521,0,0,1,0,0,0,0,0,0,0,0,0
3243,1,0.6931471805599453,1,1.0,1,1,-87.62222,0,41.8977,1,0,0,1,-1.9661128563728327,0,0,3.332204510175204,4.48863636973214,251,1,0,1,0,1.4655675420143985,1.0986122886681098,0,0,1,1,1,0,0,0,0,7.024649030453636,0,1,1,0,0,0,0,0,0,0,2,0
3244,1,1.3862943611198906,1,1.0,0,1,-87.63221,0,41.895720000000004,0,1,1,1,-4.605170185988091,0,0,3.4011973816621555,0.0,32,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,0,0,0,0,0,7.025538314638521,0,0,0,0,0,0,0,0,0,0,2,0
3245,1,1.6094379124341003,0,2.0,1,1,-87.72255,0,41.90617,1,0,0,0,0.1823215567939546,0,0,0.6931471805599453,0.0,128,1,0,1,0,1.5602476682433286,3.2188758248682006,0,0,1,1,1,0,0,0,0,3.4011973816621555,0,1,1,0,0,0,0,0,0,0,2,0
3246,1,1.0986122886681098,0,2.0,0,1,-87.74969,0,41.959379999999996,1,0,0,0,0.9162907318741551,0,0,1.791759469228055,1.6094379124341003,337,1,0,1,0,1.541159071680806,1.0986122886681098,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3247,1,1.6094379124341003,0,2.0,1,1,-87.67352,0,41.921079999999996,1,0,0,0,-0.4942963218147801,0,1,0.6931471805599453,0.0,51,1,0,1,0,1.5195132049061133,1.9459101490553132,0,0,1,1,1,0,1,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3248,1,1.6094379124341003,0,2.0,1,1,-87.69941,0,41.92017,1,0,0,0,-0.3011050927839216,0,0,0.0,2.833213344056216,0,1,0,1,0,1.6094379124341003,2.8903717578961645,0,0,1,1,1,0,1,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3249,1,1.791759469228055,0,2.0,0,1,-87.61218000000001,0,41.82025,1,0,0,0,0.6575200029167941,0,0,0.6931471805599453,0.6931471805599453,61,1,0,1,0,1.6094379124341003,3.871201010907891,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3250,1,1.3862943611198906,0,2.0,1,1,-87.67693,0,41.89655,1,0,0,0,0.3148107398400336,0,0,1.3862943611198906,0.0,61,1,0,1,0,1.5953389880545987,3.332204510175204,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3251,0,0.6931471805599453,0,1.0,1,1,-87.80305,0,41.94916,1,0,0,0,1.5602476682433286,0,1,0.0,0.0,0,1,0,1,0,1.5810384379124025,4.543294782270004,0,0,1,1,1,0,0,0,1,2.995732273553991,0,1,1,0,0,0,0,0,0,0,2,1
3252,0,0.6931471805599453,0,1.0,0,1,-87.67274,0,41.97588,1,0,0,0,0.3293037471426003,0,0,0.0,0.6931471805599453,25,1,0,1,0,1.5851452198650557,3.4965075614664802,0,0,1,1,1,0,0,0,1,7.025538314638521,0,1,1,0,1,0,0,0,0,0,2,0
3253,1,1.791759469228055,1,3.0,1,1,-87.71379,0,41.89467,1,1,0,0,-4.605170185988091,0,1,1.3862943611198906,0.0,0,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,1,0,0,0,0,3.4011973816621555,0,2,1,0,0,0,0,0,0,0,2,0
3254,1,0.6931471805599453,1,1.0,1,1,-87.62796800000001,0,41.898903000000004,1,1,0,1,-4.605170185988091,0,0,3.4011973816621555,5.560681631015528,298,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3255,1,0.6931471805599453,1,1.0,1,1,-87.62796800000001,0,41.898903000000004,1,1,0,1,-4.605170185988091,0,0,3.4011973816621555,5.560681631015528,343,1,0,1,0,-4.605170185988091,-4.605170185988091,0,0,1,1,0,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3256,1,1.3862943611198906,1,2.0,1,1,-87.62073000000001,0,41.88832,1,0,0,0,-1.9661128563728327,0,0,0.6931471805599453,1.791759469228055,90,1,1,0,0,1.3862943611198906,1.0986122886681098,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,1,0
3257,1,1.3862943611198906,1,2.0,1,1,-87.62505999999999,0,41.88633,1,0,0,0,-2.3025850929940455,0,0,0.6931471805599453,1.791759469228055,80,1,1,0,0,1.5040773967762742,0.6931471805599453,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,1,0
3258,0,0.6931471805599453,0,1.0,0,1,-87.72118,0,41.878,1,0,0,0,-2.2072749131897207,0,0,3.4011973816621555,2.0794415416798357,336,1,0,1,0,1.6094379124341003,0.0,0,0,1,1,1,0,0,0,1,5.8998973535824915,0,1,1,0,0,0,0,0,0,0,2,0
3259,1,1.3862943611198906,0,2.0,1,1,-87.6798,0,41.9049,1,1,0,0,-1.2039728043259361,0,1,1.6094379124341003,0.0,12,1,0,1,0,1.541159071680806,1.0986122886681098,0,0,1,1,1,0,0,0,0,4.442651256490317,0,1,1,0,0,0,0,0,0,0,2,0
3260,1,0.6931471805599453,0,2.0,0,1,-87.63549,0,41.91537,1,0,0,0,0.25464221837358075,0,0,1.3862943611198906,0.0,55,1,0,1,0,1.547562508716013,3.332204510175204,1,0,1,1,1,0,0,0,0,2.8903717578961645,0,1,0,0,0,0,0,0,0,0,2,0
3261,0,1.0986122886681098,0,1.0,0,1,-87.63013000000001,0,41.89025,1,0,0,1,2.0515563381903004,0,0,0.0,1.9459101490553132,264,1,0,0,0,1.5665304114228238,4.890349128221754,0,0,1,1,1,0,0,0,1,7.025538314638521,0,1,1,0,0,0,0,0,0,0,1,0
3262,1,1.3862943611198906,0,2.0,0,1,-87.70357,0,41.84834,1,0,0,0,0.7275486072772777,0,0,1.0986122886681098,0.0,146,1,0,0,0,1.5195132049061133,3.784189633918261,0,0,1,1,1,0,0,0,0,3.4339872044851463,0,1,1,0,0,0,0,0,0,0,1,0
3263,1,2.6390573296152584,0,6.0,1,1,-87.69569,0,41.87957,1,0,0,0,-0.6733445532637656,0,0,1.0986122886681098,1.791759469228055,337,1,0,1,0,1.5748464676644813,1.791759469228055,0,0,1,1,1,0,0,0,0,3.332204510175204,1,1,1,0,0,0,0,0,0,0,2,0
